Code,Description
c138,"Bösartige Neubildung: Hypopharynx, mehrere Teilbereiche"
c138 r,"Bösartige Neubildung: Hypopharynx, mehrere Teilbereiche"
c770 r,"Sekundäre und nicht näher bezeichnete bösartige Neubildung: Lymphknoten des Kopfes, des Gesichtes und des Halses"
c021 l,Bösartige Neubildung: Zungenrand Zungenrand Zungenspitze
c021,Bösartige Neubildung: Zungenrand Zungenrand Zungenspitze
c051,Bösartige Neubildung: Weicher Gaumen Weicher
c108,"Bösartige Neubildung: Oropharynx, mehrere"
c028 l,"Bösartige Neubildung: Zunge, mehrere"
c328,Bösartige
c131 l,Bösartige Neubildung
c320,Bösartige Neubildung: Glottis Glottis Lig. vocale [echtes Stimmband] o.n.A. Ventriculus laryngis  Bösartige Neubildung der Glottis  Bösartige Neubildung
c109,"Bösartige Neubildung: Oropharynx, nicht näher"
c098 l,"Bösartige Neubildung: Tonsille, mehrere"
d370 r,"Neubildung unsicheren oder unbekannten Verhaltens: Lippe, Mundhöhle und Pharynx Lippe, Mundhöhle und Pharynx"
c320 r,Bösartige Neubildung: Glottis Glottis Lig. vocale [echtes Stimmband] o.n.A. Ventriculus laryngis  Bösartige Neubildung der Glottis  Bösartige Neubildung
c138 l,"Bösartige Neubildung: Hypopharynx, mehrere Teilbereiche"
c320 l,Bösartige Neubildung: Glottis Glottis Lig. vocale [echtes Stimmband] o.n.A. Ventriculus laryngis  Bösartige Neubildung der Glottis  Bösartige Neubildung
c102,Bösartige Neubildung: Seitenwand
c102 r,Bösartige Neubildung: Seitenwand
c021 r,Bösartige Neubildung: Zungenrand Zungenrand Zungenspitze
c099 l,Bösartige Neubildung
c770 b,"Sekundäre und nicht näher bezeichnete bösartige Neubildung: Lymphknoten des Kopfes, des Gesichtes und des Halses"
c328 b,Bösartige
c052,Bösartige Neubildung: Uvula Uvula  Bösartige Neubildung
c098 r,"Bösartige Neubildung: Tonsille, mehrere"
c098,"Bösartige Neubildung: Tonsille, mehrere"
c100,Bösartige Neubildung: Vallecula epiglottica Vallecula epiglottica  Bösartige Neubildung der Vallecula epiglottica  Karzinom der Vallecula epiglottica  Krebs
c148,Bösartige Neubildung: Lippe
c139,Bösartige Neubildung
d370,"Neubildung unsicheren oder unbekannten Verhaltens: Lippe, Mundhöhle und Pharynx Lippe, Mundhöhle und Pharynx"
c108 l,"Bösartige Neubildung: Oropharynx, mehrere"
c148 r,Bösartige Neubildung: Lippe
